library_name,github_repo,stars,usage_count,model_ids,imported_entities
lmqg,,,1,lmqg/t5-base-squad-qag,lmqg/t5-base-squad-qag: lmqg.TransformersQG
load,,,1,neuralmagic/llama-2-7b-chat-marlin,neuralmagic/llama-2-7b-chat-marlin: load.load_model
longva,,,2,"lmms-lab/LongVA-7B, lmms-lab/LongVA-7B-DPO",lmms-lab/LongVA-7B: longva.model.builder.load_pretrained_model; lmms-lab/LongVA-7B: longva.mm_utils.tokenizer_image_token; lmms-lab/LongVA-7B: longva.mm_utils.process_images; lmms-lab/LongVA-7B: longva.constants.IMAGE_TOKEN_INDEX; lmms-lab/LongVA-7B-DPO: longva.model.builder.load_pretrained_model; lmms-lab/LongVA-7B-DPO: longva.mm_utils.tokenizer_image_token; lmms-lab/LongVA-7B-DPO: longva.mm_utils.process_images; lmms-lab/LongVA-7B-DPO: longva.constants.IMAGE_TOKEN_INDEX
ltp,,,2,"LTP/small, LTP/base1",LTP/small: ltp.LTP; LTP/base1: ltp.LTP
lycoris,,,6,"jimmycarter/flux-training-losercity-next-lycoris14, jimmycarter/flux-training, jimmycarter/flux-training-losercity-next-lycoris8, bghira/flux-sfwbooru-3.5M-lokr-attempt5, bghira/flux-sfwbooru-3.5M-lokr-attempt5b, adipanda/luffy-simpletuner-lora-6",jimmycarter/flux-training-losercity-next-lycoris14: lycoris.create_lycoris_from_weights; jimmycarter/flux-training: lycoris.create_lycoris_from_weights; jimmycarter/flux-training-losercity-next-lycoris8: lycoris.create_lycoris_from_weights; bghira/flux-sfwbooru-3.5M-lokr-attempt5: lycoris.create_lycoris_from_weights; bghira/flux-sfwbooru-3.5M-lokr-attempt5b: lycoris.create_lycoris_from_weights; adipanda/luffy-simpletuner-lora-6: lycoris.create_lycoris_from_weights
mamba_ssm,,,1,state-spaces/mamba-2.8b-slimpj,state-spaces/mamba-2.8b-slimpj: mamba_ssm.models.mixer_seq_simple.MambaLMHeadModel
mantis,,,2,"TIGER-Lab/Mantis-8B-siglip-llama3, TIGER-Lab/Mantis-8B-clip-llama3",TIGER-Lab/Mantis-8B-siglip-llama3: mantis.models.mllava.chat_mllava; TIGER-Lab/Mantis-8B-siglip-llama3: mantis.models.mllava.MLlavaProcessor; TIGER-Lab/Mantis-8B-siglip-llama3: mantis.models.mllava.LlavaForConditionalGeneration; TIGER-Lab/Mantis-8B-clip-llama3: mantis.models.mllava.chat_mllava; TIGER-Lab/Mantis-8B-clip-llama3: mantis.models.mllava.MLlavaProcessor; TIGER-Lab/Mantis-8B-clip-llama3: mantis.models.mllava.LlavaForConditionalGeneration
mast3r,,,1,naver/MASt3R_ViTLarge_BaseDecoder_512_catmlpdpt_metric,naver/MASt3R_ViTLarge_BaseDecoder_512_catmlpdpt_metric: mast3r.model.AsymmetricMASt3R
math,,,25,"OpenGVLab/InternVL2-1B, OpenGVLab/InternVL2-Llama3-76B, OpenGVLab/InternVL2-2B, OpenGVLab/InternVL2-8B, OpenGVLab/InternVL2-26B, OpenGVLab/InternVL2-40B, OpenGVLab/InternVL2-4B, microsoft/Orca-2-13b, OpenGVLab/InternVL-Chat-V1-5, microsoft/Orca-2-7b, AI4PD/ZymCTRL, cloudyu/Mixtral_34Bx2_MoE_60B, cloudyu/Yi-34Bx2-MoE-60B, cloudyu/Yi-34Bx2-MOE-200K, OpenGVLab/Mini-InternVL-Chat-2B-V1-5, kodonho/Solar-OrcaDPO-Solar-Instruct-SLERP, kodonho/SolarM-SakuraSolar-SLERP, TheBloke/Orca-2-13B-GGUF, colable/llama-ko-peft-v0.5, colable/llama-ko-peft-v0.6, colable/llama-ko-peft, TheBloke/Orca-2-7B-GGUF, OpenGVLab/Mini-InternVL-Chat-4B-V1-5, TheBloke/Mixtral_7Bx2_MoE-GGUF, TheBloke/Mixtral_34Bx2_MoE_60B-GGUF",OpenGVLab/InternVL2-1B: math; OpenGVLab/InternVL2-Llama3-76B: math; OpenGVLab/InternVL2-Llama3-76B: math; OpenGVLab/InternVL2-2B: math; OpenGVLab/InternVL2-8B: math; OpenGVLab/InternVL2-26B: math; OpenGVLab/InternVL2-40B: math; OpenGVLab/InternVL2-40B: math; OpenGVLab/InternVL2-4B: math; microsoft/Orca-2-13b: math; OpenGVLab/InternVL-Chat-V1-5: math; microsoft/Orca-2-7b: math; AI4PD/ZymCTRL: math; cloudyu/Mixtral_34Bx2_MoE_60B: math; cloudyu/Mixtral_34Bx2_MoE_60B: math; cloudyu/Yi-34Bx2-MoE-60B: math; cloudyu/Yi-34Bx2-MoE-60B: math; cloudyu/Yi-34Bx2-MOE-200K: math; OpenGVLab/Mini-InternVL-Chat-2B-V1-5: math; kodonho/Solar-OrcaDPO-Solar-Instruct-SLERP: math; kodonho/Solar-OrcaDPO-Solar-Instruct-SLERP: math; kodonho/SolarM-SakuraSolar-SLERP: math; kodonho/SolarM-SakuraSolar-SLERP: math; TheBloke/Orca-2-13B-GGUF: math; colable/llama-ko-peft-v0.5: math; colable/llama-ko-peft-v0.6: math; colable/llama-ko-peft: math; TheBloke/Orca-2-7B-GGUF: math; OpenGVLab/Mini-InternVL-Chat-4B-V1-5: math; TheBloke/Mixtral_7Bx2_MoE-GGUF: math; TheBloke/Mixtral_7Bx2_MoE-GGUF: math; TheBloke/Mixtral_34Bx2_MoE_60B-GGUF: math; TheBloke/Mixtral_34Bx2_MoE_60B-GGUF: math
meldataset,,,5,"nvidia/bigvgan_v2_22khz_80band_256x, nvidia/bigvgan_v2_24khz_100band_256x, nvidia/bigvgan_base_22khz_80band, nvidia/bigvgan_v2_44khz_128band_512x, nvidia/bigvgan_v2_22khz_80band_fmax8k_256x",nvidia/bigvgan_v2_22khz_80band_256x: meldataset.get_mel_spectrogram; nvidia/bigvgan_v2_24khz_100band_256x: meldataset.get_mel_spectrogram; nvidia/bigvgan_base_22khz_80band: meldataset.get_mel_spectrogram; nvidia/bigvgan_v2_44khz_128band_512x: meldataset.get_mel_spectrogram; nvidia/bigvgan_v2_22khz_80band_fmax8k_256x: meldataset.get_mel_spectrogram
melo,,,8,"myshell-ai/MeloTTS-English, myshell-ai/MeloTTS-Korean, myshell-ai/MeloTTS-English-v3, myshell-ai/MeloTTS-French, myshell-ai/MeloTTS-Spanish, myshell-ai/MeloTTS-Chinese, myshell-ai/MeloTTS-Japanese, myshell-ai/MeloTTS-English-v2",myshell-ai/MeloTTS-English: melo.api.TTS; myshell-ai/MeloTTS-Korean: melo.api.TTS; myshell-ai/MeloTTS-English-v3: melo.api.TTS; myshell-ai/MeloTTS-French: melo.api.TTS; myshell-ai/MeloTTS-Spanish: melo.api.TTS; myshell-ai/MeloTTS-Chinese: melo.api.TTS; myshell-ai/MeloTTS-Japanese: melo.api.TTS; myshell-ai/MeloTTS-English-v2: melo.api.TTS
meteor,,,2,"BK-Lee/Meteor-Mamba, BK-Lee/Meteor-MLM",BK-Lee/Meteor-Mamba: meteor.load_mmamba.load_mmamba; BK-Lee/Meteor-Mamba: meteor.load_meteor.load_meteor; BK-Lee/Meteor-MLM: meteor.load_mmamba.load_mmamba; BK-Lee/Meteor-MLM: meteor.load_meteor.load_meteor
min_dalle,,,1,kuprel/min-dalle,kuprel/min-dalle: min_dalle.MinDalle
minicheck,,,3,"lytang/MiniCheck-RoBERTa-Large, lytang/MiniCheck-Flan-T5-Large, bespokelabs/Bespoke-MiniCheck-7B",lytang/MiniCheck-RoBERTa-Large: minicheck.minicheck.MiniCheck; lytang/MiniCheck-RoBERTa-Large: minicheck.minicheck.MiniCheck; lytang/MiniCheck-Flan-T5-Large: minicheck.minicheck.MiniCheck; lytang/MiniCheck-Flan-T5-Large: minicheck.minicheck.MiniCheck; bespokelabs/Bespoke-MiniCheck-7B: minicheck.minicheck.MiniCheck; bespokelabs/Bespoke-MiniCheck-7B: minicheck.minicheck.MiniCheck
mistral_common,,,20,"mistralai/Mistral-7B-Instruct-v0.2, mistralai/Mixtral-8x7B-Instruct-v0.1, mistralai/Mistral-7B-Instruct-v0.3, mistralai/Mistral-7B-Instruct-v0.1, QuantFactory/Mistral-Nemo-Instruct-2407-GGUF, mistralai/Mistral-Nemo-Instruct-2407, FlorianJc/Mistral-Nemo-Instruct-2407-vllm-fp8, mistralai/Mixtral-8x22B-Instruct-v0.1, mistralai/Codestral-22B-v0.1, mistralai/Mistral-Large-Instruct-2407, mistralai/Mistral-Small-Instruct-2409, enghwa/neuron-mistral7bv0.2, failspy/Codestral-22B-v0.1-abliterated-v3, MaziyarPanahi/Mistral-7B-Instruct-v0.3, bullerwins/Codestral-22B-v0.1-hf, TechxGenus/Mistral-Large-Instruct-2407-AWQ, AMead10/Mistral-Small-Instruct-2409-awq, unsloth/Mistral-Small-Instruct-2409-bnb-4bit, MaziyarPanahi/Mixtral-8x22B-Instruct-v0.1-GGUF, mistral-community/Mistral-7B-Instruct-v0.3",mistralai/Mistral-7B-Instruct-v0.2: mistral_common.tokens.tokenizers.mistral.MistralTokenizer; mistralai/Mistral-7B-Instruct-v0.2: mistral_common.protocol.instruct.messages.UserMessage; mistralai/Mistral-7B-Instruct-v0.2: mistral_common.protocol.instruct.request.ChatCompletionRequest; mistralai/Mixtral-8x7B-Instruct-v0.1: mistral_common.tokens.tokenizers.mistral.MistralTokenizer; mistralai/Mixtral-8x7B-Instruct-v0.1: mistral_common.protocol.instruct.messages.UserMessage; mistralai/Mixtral-8x7B-Instruct-v0.1: mistral_common.protocol.instruct.request.ChatCompletionRequest; mistralai/Mistral-7B-Instruct-v0.3: mistral_common.tokens.tokenizers.mistral.MistralTokenizer; mistralai/Mistral-7B-Instruct-v0.3: mistral_common.protocol.instruct.messages.UserMessage; mistralai/Mistral-7B-Instruct-v0.3: mistral_common.protocol.instruct.request.ChatCompletionRequest; mistralai/Mistral-7B-Instruct-v0.3: mistral_common.protocol.instruct.tool_calls.Function; mistralai/Mistral-7B-Instruct-v0.3: mistral_common.protocol.instruct.tool_calls.Tool; mistralai/Mistral-7B-Instruct-v0.3: mistral_common.tokens.tokenizers.mistral.MistralTokenizer; mistralai/Mistral-7B-Instruct-v0.3: mistral_common.protocol.instruct.messages.UserMessage; mistralai/Mistral-7B-Instruct-v0.3: mistral_common.protocol.instruct.request.ChatCompletionRequest; mistralai/Mistral-7B-Instruct-v0.1: mistral_common.tokens.tokenizers.mistral.MistralTokenizer; mistralai/Mistral-7B-Instruct-v0.1: mistral_common.protocol.instruct.messages.UserMessage; mistralai/Mistral-7B-Instruct-v0.1: mistral_common.protocol.instruct.request.ChatCompletionRequest; QuantFactory/Mistral-Nemo-Instruct-2407-GGUF: mistral_common.tokens.tokenizers.mistral.MistralTokenizer; QuantFactory/Mistral-Nemo-Instruct-2407-GGUF: mistral_common.protocol.instruct.messages.UserMessage; QuantFactory/Mistral-Nemo-Instruct-2407-GGUF: mistral_common.protocol.instruct.request.ChatCompletionRequest; QuantFactory/Mistral-Nemo-Instruct-2407-GGUF: mistral_common.protocol.instruct.tool_calls.Function; QuantFactory/Mistral-Nemo-Instruct-2407-GGUF: mistral_common.protocol.instruct.tool_calls.Tool; QuantFactory/Mistral-Nemo-Instruct-2407-GGUF: mistral_common.tokens.tokenizers.mistral.MistralTokenizer; QuantFactory/Mistral-Nemo-Instruct-2407-GGUF: mistral_common.protocol.instruct.messages.UserMessage; QuantFactory/Mistral-Nemo-Instruct-2407-GGUF: mistral_common.protocol.instruct.request.ChatCompletionRequest; mistralai/Mistral-Nemo-Instruct-2407: mistral_common.tokens.tokenizers.mistral.MistralTokenizer; mistralai/Mistral-Nemo-Instruct-2407: mistral_common.protocol.instruct.messages.UserMessage; mistralai/Mistral-Nemo-Instruct-2407: mistral_common.protocol.instruct.request.ChatCompletionRequest; mistralai/Mistral-Nemo-Instruct-2407: mistral_common.protocol.instruct.tool_calls.Function; mistralai/Mistral-Nemo-Instruct-2407: mistral_common.protocol.instruct.tool_calls.Tool; mistralai/Mistral-Nemo-Instruct-2407: mistral_common.tokens.tokenizers.mistral.MistralTokenizer; mistralai/Mistral-Nemo-Instruct-2407: mistral_common.protocol.instruct.messages.UserMessage; mistralai/Mistral-Nemo-Instruct-2407: mistral_common.protocol.instruct.request.ChatCompletionRequest; FlorianJc/Mistral-Nemo-Instruct-2407-vllm-fp8: mistral_common.tokens.tokenizers.mistral.MistralTokenizer; FlorianJc/Mistral-Nemo-Instruct-2407-vllm-fp8: mistral_common.protocol.instruct.messages.UserMessage; FlorianJc/Mistral-Nemo-Instruct-2407-vllm-fp8: mistral_common.protocol.instruct.request.ChatCompletionRequest; FlorianJc/Mistral-Nemo-Instruct-2407-vllm-fp8: mistral_common.protocol.instruct.tool_calls.Function; FlorianJc/Mistral-Nemo-Instruct-2407-vllm-fp8: mistral_common.protocol.instruct.tool_calls.Tool; FlorianJc/Mistral-Nemo-Instruct-2407-vllm-fp8: mistral_common.tokens.tokenizers.mistral.MistralTokenizer; FlorianJc/Mistral-Nemo-Instruct-2407-vllm-fp8: mistral_common.protocol.instruct.messages.UserMessage; FlorianJc/Mistral-Nemo-Instruct-2407-vllm-fp8: mistral_common.protocol.instruct.request.ChatCompletionRequest; mistralai/Mixtral-8x22B-Instruct-v0.1: mistral_common.tokens.tokenizers.mistral.MistralTokenizer; mistralai/Mixtral-8x22B-Instruct-v0.1: mistral_common.protocol.instruct.messages.UserMessage; mistralai/Mixtral-8x22B-Instruct-v0.1: mistral_common.protocol.instruct.request.ChatCompletionRequest; mistralai/Mixtral-8x22B-Instruct-v0.1: mistral_common.protocol.instruct.messages.AssistantMessage; mistralai/Mixtral-8x22B-Instruct-v0.1: mistral_common.protocol.instruct.messages.UserMessage; mistralai/Mixtral-8x22B-Instruct-v0.1: mistral_common.protocol.instruct.tool_calls.Tool; mistralai/Mixtral-8x22B-Instruct-v0.1: mistral_common.protocol.instruct.tool_calls.Function; mistralai/Mixtral-8x22B-Instruct-v0.1: mistral_common.tokens.tokenizers.mistral.MistralTokenizer; mistralai/Mixtral-8x22B-Instruct-v0.1: mistral_common.tokens.instruct.normalize.ChatCompletionRequest; mistralai/Mixtral-8x22B-Instruct-v0.1: mistral_common.protocol.instruct.messages.AssistantMessage; mistralai/Mixtral-8x22B-Instruct-v0.1: mistral_common.protocol.instruct.messages.UserMessage; mistralai/Mixtral-8x22B-Instruct-v0.1: mistral_common.tokens.tokenizers.mistral.MistralTokenizer; mistralai/Mixtral-8x22B-Instruct-v0.1: mistral_common.tokens.instruct.normalize.ChatCompletionRequest; mistralai/Codestral-22B-v0.1: mistral_common.tokens.tokenizers.mistral.MistralTokenizer; mistralai/Codestral-22B-v0.1: mistral_common.protocol.instruct.messages.UserMessage; mistralai/Codestral-22B-v0.1: mistral_common.protocol.instruct.request.ChatCompletionRequest; mistralai/Codestral-22B-v0.1: mistral_common.tokens.tokenizers.mistral.MistralTokenizer; mistralai/Codestral-22B-v0.1: mistral_common.tokens.instruct.request.FIMRequest; mistralai/Mistral-Large-Instruct-2407: mistral_common.tokens.tokenizers.mistral.MistralTokenizer; mistralai/Mistral-Large-Instruct-2407: mistral_common.protocol.instruct.messages.UserMessage; mistralai/Mistral-Large-Instruct-2407: mistral_common.protocol.instruct.request.ChatCompletionRequest; mistralai/Mistral-Large-Instruct-2407: mistral_common.protocol.instruct.tool_calls.Function; mistralai/Mistral-Large-Instruct-2407: mistral_common.protocol.instruct.tool_calls.Tool; mistralai/Mistral-Large-Instruct-2407: mistral_common.tokens.tokenizers.mistral.MistralTokenizer; mistralai/Mistral-Large-Instruct-2407: mistral_common.protocol.instruct.messages.UserMessage; mistralai/Mistral-Large-Instruct-2407: mistral_common.protocol.instruct.request.ChatCompletionRequest; mistralai/Mistral-Small-Instruct-2409: mistral_common.tokens.tokenizers.mistral.MistralTokenizer; mistralai/Mistral-Small-Instruct-2409: mistral_common.protocol.instruct.messages.UserMessage; mistralai/Mistral-Small-Instruct-2409: mistral_common.protocol.instruct.request.ChatCompletionRequest; mistralai/Mistral-Small-Instruct-2409: mistral_common.protocol.instruct.tool_calls.Function; mistralai/Mistral-Small-Instruct-2409: mistral_common.protocol.instruct.tool_calls.Tool; mistralai/Mistral-Small-Instruct-2409: mistral_common.tokens.tokenizers.mistral.MistralTokenizer; mistralai/Mistral-Small-Instruct-2409: mistral_common.protocol.instruct.messages.UserMessage; mistralai/Mistral-Small-Instruct-2409: mistral_common.protocol.instruct.request.ChatCompletionRequest; enghwa/neuron-mistral7bv0.2: mistral_common.tokens.tokenizers.mistral.MistralTokenizer; enghwa/neuron-mistral7bv0.2: mistral_common.protocol.instruct.messages.UserMessage; enghwa/neuron-mistral7bv0.2: mistral_common.protocol.instruct.request.ChatCompletionRequest; failspy/Codestral-22B-v0.1-abliterated-v3: mistral_common.tokens.tokenizers.mistral.MistralTokenizer; failspy/Codestral-22B-v0.1-abliterated-v3: mistral_common.tokens.instruct.request.FIMRequest; MaziyarPanahi/Mistral-7B-Instruct-v0.3: mistral_common.tokens.tokenizers.mistral.MistralTokenizer; MaziyarPanahi/Mistral-7B-Instruct-v0.3: mistral_common.protocol.instruct.messages.UserMessage; MaziyarPanahi/Mistral-7B-Instruct-v0.3: mistral_common.protocol.instruct.request.ChatCompletionRequest; MaziyarPanahi/Mistral-7B-Instruct-v0.3: mistral_common.protocol.instruct.tool_calls.Function; MaziyarPanahi/Mistral-7B-Instruct-v0.3: mistral_common.protocol.instruct.tool_calls.Tool; MaziyarPanahi/Mistral-7B-Instruct-v0.3: mistral_common.tokens.tokenizers.mistral.MistralTokenizer; MaziyarPanahi/Mistral-7B-Instruct-v0.3: mistral_common.protocol.instruct.messages.UserMessage; MaziyarPanahi/Mistral-7B-Instruct-v0.3: mistral_common.protocol.instruct.request.ChatCompletionRequest; bullerwins/Codestral-22B-v0.1-hf: mistral_common.tokens.tokenizers.mistral.MistralTokenizer; bullerwins/Codestral-22B-v0.1-hf: mistral_common.tokens.instruct.request.FIMRequest; TechxGenus/Mistral-Large-Instruct-2407-AWQ: mistral_common.tokens.tokenizers.mistral.MistralTokenizer; TechxGenus/Mistral-Large-Instruct-2407-AWQ: mistral_common.protocol.instruct.messages.UserMessage; TechxGenus/Mistral-Large-Instruct-2407-AWQ: mistral_common.protocol.instruct.request.ChatCompletionRequest; TechxGenus/Mistral-Large-Instruct-2407-AWQ: mistral_common.protocol.instruct.tool_calls.Function; TechxGenus/Mistral-Large-Instruct-2407-AWQ: mistral_common.protocol.instruct.tool_calls.Tool; TechxGenus/Mistral-Large-Instruct-2407-AWQ: mistral_common.tokens.tokenizers.mistral.MistralTokenizer; TechxGenus/Mistral-Large-Instruct-2407-AWQ: mistral_common.protocol.instruct.messages.UserMessage; TechxGenus/Mistral-Large-Instruct-2407-AWQ: mistral_common.protocol.instruct.request.ChatCompletionRequest; AMead10/Mistral-Small-Instruct-2409-awq: mistral_common.tokens.tokenizers.mistral.MistralTokenizer; AMead10/Mistral-Small-Instruct-2409-awq: mistral_common.protocol.instruct.messages.UserMessage; AMead10/Mistral-Small-Instruct-2409-awq: mistral_common.protocol.instruct.request.ChatCompletionRequest; AMead10/Mistral-Small-Instruct-2409-awq: mistral_common.protocol.instruct.tool_calls.Function; AMead10/Mistral-Small-Instruct-2409-awq: mistral_common.protocol.instruct.tool_calls.Tool; AMead10/Mistral-Small-Instruct-2409-awq: mistral_common.tokens.tokenizers.mistral.MistralTokenizer; AMead10/Mistral-Small-Instruct-2409-awq: mistral_common.protocol.instruct.messages.UserMessage; AMead10/Mistral-Small-Instruct-2409-awq: mistral_common.protocol.instruct.request.ChatCompletionRequest; unsloth/Mistral-Small-Instruct-2409-bnb-4bit: mistral_common.tokens.tokenizers.mistral.MistralTokenizer; unsloth/Mistral-Small-Instruct-2409-bnb-4bit: mistral_common.protocol.instruct.messages.UserMessage; unsloth/Mistral-Small-Instruct-2409-bnb-4bit: mistral_common.protocol.instruct.request.ChatCompletionRequest; unsloth/Mistral-Small-Instruct-2409-bnb-4bit: mistral_common.protocol.instruct.tool_calls.Function; unsloth/Mistral-Small-Instruct-2409-bnb-4bit: mistral_common.protocol.instruct.tool_calls.Tool; unsloth/Mistral-Small-Instruct-2409-bnb-4bit: mistral_common.tokens.tokenizers.mistral.MistralTokenizer; unsloth/Mistral-Small-Instruct-2409-bnb-4bit: mistral_common.protocol.instruct.messages.UserMessage; unsloth/Mistral-Small-Instruct-2409-bnb-4bit: mistral_common.protocol.instruct.request.ChatCompletionRequest; MaziyarPanahi/Mixtral-8x22B-Instruct-v0.1-GGUF: mistral_common.protocol.instruct.messages.AssistantMessage; MaziyarPanahi/Mixtral-8x22B-Instruct-v0.1-GGUF: mistral_common.protocol.instruct.messages.UserMessage; MaziyarPanahi/Mixtral-8x22B-Instruct-v0.1-GGUF: mistral_common.protocol.instruct.tool_calls.Tool; MaziyarPanahi/Mixtral-8x22B-Instruct-v0.1-GGUF: mistral_common.protocol.instruct.tool_calls.Function; MaziyarPanahi/Mixtral-8x22B-Instruct-v0.1-GGUF: mistral_common.tokens.tokenizers.mistral.MistralTokenizer; MaziyarPanahi/Mixtral-8x22B-Instruct-v0.1-GGUF: mistral_common.tokens.instruct.normalize.ChatCompletionRequest; MaziyarPanahi/Mixtral-8x22B-Instruct-v0.1-GGUF: mistral_common.protocol.instruct.messages.AssistantMessage; MaziyarPanahi/Mixtral-8x22B-Instruct-v0.1-GGUF: mistral_common.protocol.instruct.messages.UserMessage; MaziyarPanahi/Mixtral-8x22B-Instruct-v0.1-GGUF: mistral_common.tokens.tokenizers.mistral.MistralTokenizer; MaziyarPanahi/Mixtral-8x22B-Instruct-v0.1-GGUF: mistral_common.tokens.instruct.normalize.ChatCompletionRequest; mistral-community/Mistral-7B-Instruct-v0.3: mistral_common.tokens.tokenizers.mistral.MistralTokenizer; mistral-community/Mistral-7B-Instruct-v0.3: mistral_common.protocol.instruct.messages.UserMessage; mistral-community/Mistral-7B-Instruct-v0.3: mistral_common.protocol.instruct.request.ChatCompletionRequest; mistral-community/Mistral-7B-Instruct-v0.3: mistral_common.protocol.instruct.tool_calls.Function; mistral-community/Mistral-7B-Instruct-v0.3: mistral_common.protocol.instruct.tool_calls.Tool; mistral-community/Mistral-7B-Instruct-v0.3: mistral_common.tokens.tokenizers.mistral.MistralTokenizer; mistral-community/Mistral-7B-Instruct-v0.3: mistral_common.protocol.instruct.messages.UserMessage; mistral-community/Mistral-7B-Instruct-v0.3: mistral_common.protocol.instruct.request.ChatCompletionRequest
