library_name,github_repo,stars,usage_count,model_ids
jiwer,,,13,"kresnik/wav2vec2-large-xlsr-korean, facebook/wav2vec2-base-960h, facebook/wav2vec2-large-960h, asapp/sew-d-tiny-100k-ft-ls100h, facebook/wav2vec2-conformer-rope-large-960h-ft, facebook/wav2vec2-large-960h-lv60-self, cpierse/wav2vec2-large-xlsr-53-esperanto, facebook/data2vec-audio-base-960h, PereLluis13/Wav2Vec2-Large-XLSR-53-catalan, facebook/wav2vec2-large-960h-lv60, facebook/data2vec-audio-large-960h, facebook/wav2vec2-conformer-rel-pos-large-960h-ft, maxidl/wav2vec2-large-xlsr-german"
joblib,,,1,daxa-ai/pebblo-classifier
keras,,,1,ghost-x/ghost-7b-alpha
keybert,,,1,NbAiLab/nb-sbert-base
lambda_diffusers,,,1,lambdalabs/sd-image-variations-diffusers
langchain,,,23,"BAAI/bge-base-en-v1.5, BAAI/bge-large-en-v1.5, BAAI/bge-small-en-v1.5, BAAI/bge-reranker-large, BAAI/bge-large-zh-v1.5, BAAI/bge-small-en, BAAI/bge-reranker-base, BAAI/llm-embedder, BAAI/bge-large-en, BAAI/bge-base-en, maidalun1020/bce-embedding-base_v1, BAAI/bge-small-zh-v1.5, databricks/dolly-v2-3b, Mike0307/text2vec-base-chinese-rag, BAAI/bge-base-zh-v1.5, maidalun1020/bce-reranker-base_v1, databricks/dolly-v2-7b, BAAI/bge-small-zh, DMetaSoul/Dmeta-embedding-zh, BAAI/bge-large-zh, databricks/dolly-v2-12b, khoa-klaytn/bge-small-en-v1.5-angle, DMetaSoul/Dmeta-embedding-zh-small"
langchain_community,,,3,"maidalun1020/bce-embedding-base_v1, Mike0307/text2vec-base-chinese-rag, maidalun1020/bce-reranker-base_v1"
langchain_core,,,1,Mike0307/text2vec-base-chinese-rag
langchain_openai,,,2,"deepseek-ai/DeepSeek-V2-Lite, deepseek-ai/DeepSeek-V2-Lite-Chat"
languagebind,,,8,"LanguageBind/LanguageBind_Video_FT, LanguageBind/LanguageBind_Image, LanguageBind/LanguageBind_Video_merge, LanguageBind/LanguageBind_Audio_FT, LanguageBind/LanguageBind_Video, LanguageBind/LanguageBind_Video_V1.5_FT, LanguageBind/LanguageBind_Video_Huge_V1.5_FT, LanguageBind/LanguageBind_Audio"
librosa,,,42,"jonatasgrosman/wav2vec2-large-xlsr-53-english, jonatasgrosman/wav2vec2-large-xlsr-53-portuguese, jonatasgrosman/wav2vec2-large-xlsr-53-chinese-zh-cn, jonatasgrosman/wav2vec2-large-xlsr-53-russian, jonatasgrosman/wav2vec2-large-xlsr-53-japanese, jonatasgrosman/wav2vec2-xls-r-1b-portuguese, jonatasgrosman/wav2vec2-large-xlsr-53-arabic, jonatasgrosman/wav2vec2-large-xlsr-53-dutch, jonatasgrosman/wav2vec2-large-xlsr-53-polish, jonatasgrosman/wav2vec2-large-xlsr-53-french, jonatasgrosman/wav2vec2-large-xlsr-53-hungarian, jonatasgrosman/wav2vec2-large-xlsr-53-spanish, jonatasgrosman/wav2vec2-large-xlsr-53-greek, jonatasgrosman/wav2vec2-large-xlsr-53-italian, jonatasgrosman/wav2vec2-large-xlsr-53-persian, Qwen/Qwen2-Audio-7B-Instruct, m3hrdadfi/wav2vec2-xlsr-persian-speech-emotion-recognition, jonatasgrosman/wav2vec2-large-xlsr-53-finnish, fixie-ai/ultravox-v0_3, m3hrdadfi/hubert-base-persian-speech-gender-recognition, 3loi/SER-Odyssey-Baseline-WavLM-Multi-Attributes, superb/wav2vec2-base-superb-er, nvidia/bigvgan_v2_22khz_80band_256x, fixie-ai/ultravox-v0_4, nvidia/bigvgan_v2_24khz_100band_256x, lighteternal/wav2vec2-large-xlsr-53-greek, nvidia/bigvgan_base_22khz_80band, Qwen/Qwen2-Audio-7B, superb/hubert-base-superb-er, TKU410410103/wav2vec2-base-japanese-asr, TKU410410103/hubert-base-japanese-asr, nvidia/bigvgan_v2_44khz_128band_512x, nvidia/bigvgan_v2_22khz_80band_fmax8k_256x, alvanlii/whisper-small-cantonese, superb/hubert-large-superb-er, jonatasgrosman/wav2vec2-large-xlsr-53-german, superb/wav2vec2-base-superb-sid, TKU410410103/hubert-large-japanese-asr, amiriparian/ExHuBERT, TKU410410103/uniTKU-hubert-japanese-asr, m3hrdadfi/wav2vec2-large-xlsr-persian, medtalkai/wav2vec_kenlm5"
linktransformer,,,1,dell-research-harvard/lt-wikidata-comp-en
liqfit,,,1,knowledgator/comprehend_it-base
litgpt,,,2,"akjindal53244/Llama-3.1-Storm-8B, unsloth/Llama-3.1-Storm-8B-bnb-4bit"
llama_cpp,,,64,"TheBloke/Mistral-7B-Instruct-v0.2-GGUF, TheBloke/Mixtral-8x7B-Instruct-v0.1-GGUF, microsoft/Phi-3-mini-4k-instruct-gguf, TheBloke/TinyLlama-1.1B-Chat-v1.0-GGUF, TheBloke/Noromaid-13B-v0.3-GGUF, TheBloke/phi-2-GGUF, TheBloke/CapybaraHermes-2.5-Mistral-7B-GGUF, TheBloke/Unholy-v2-13B-GGUF, PrunaAI/Phi-3-mini-128k-instruct-GGUF-Imatrix-smashed, TheBloke/SOLAR-10.7B-Instruct-v1.0-uncensored-GGUF, galatolo/cerbero-7b, TheBloke/Open_Gpt4_8x7B_v0.2-GGUF, TheBloke/dolphin-2.5-mixtral-8x7b-GGUF, TheBloke/dolphin-2.7-mixtral-8x7b-GGUF, TheBloke/dolphin-2.6-mistral-7B-GGUF, Mozilla/Mistral-7B-Instruct-v0.2-llamafile, TheBloke/Mixtral-8x7B-v0.1-GGUF, Bingsu/exaone-3.0-7.8b-it, CompendiumLabs/bge-base-en-v1.5-gguf, PrunaAI/Phi-3-mini-4k-instruct-GGUF-Imatrix-smashed, TheBloke/Open_Gpt4_8x7B-GGUF, TheBloke/Kunoichi-7B-GGUF, TheBloke/CodeLlama-70B-hf-GGUF, PrunaAI/phi-2-GGUF-smashed, TheBloke/CodeLlama-70B-Instruct-GGUF, TheBloke/Nous-Hermes-2-Mixtral-8x7B-DPO-GGUF, TheBloke/openchat-3.5-0106-GGUF, TheBloke/Nous-Hermes-2-SOLAR-10.7B-GGUF, akjindal53244/Llama-3.1-Storm-8B-GGUF, TheBloke/openchat-3.5-1210-GGUF, PrunaAI/Llama3-8B-Chinese-Chat-GGUF-smashed, TheBloke/saiga_mistral_7b-GGUF, MLP-KTLim/llama-3-Korean-Bllossom-8B-gguf-Q4_K_M, TheBloke/stablelm-zephyr-3b-GGUF, TheBloke/dolphin-2_6-phi-2-GGUF, TheBloke/Nous-Hermes-2-Mixtral-8x7B-SFT-GGUF, TheBloke/EstopianMaid-13B-GGUF, ytu-ce-cosmos/Turkish-Llama-8b-Instruct-v0.1-GGUF, TheBloke/CodeLlama-70B-Python-GGUF, TheBloke/laser-dolphin-mixtral-2x7b-dpo-GGUF, jartine/phi-2-llamafile, Mozilla/Mixtral-8x7B-Instruct-v0.1-llamafile, norallm/normistral-7b-warm-instruct, TheBloke/Nous-Hermes-2-Yi-34B-GGUF, TheBloke/dolphin-2.6-mixtral-8x7b-GGUF, PrunaAI/Llama-3-8B-Instruct-Gradient-1048k-GGUF-smashed, TheBloke/dolphin-2.6-mistral-7B-dpo-laser-GGUF, TheBloke/WhiteRabbitNeo-33B-v1-GGUF, TheBloke/DiscoLM_German_7b_v1-GGUF, CompendiumLabs/bge-small-en-v1.5-gguf, TheBloke/WizardCoder-33B-V1.1-GGUF, TheBloke/KafkaLM-70B-German-V0.1-GGUF, PrunaAI/dolphin-2.9-llama3-8b-256k-GGUF-smashed, TheBloke/WhiteRabbitNeo-13B-GGUF, TheBloke/medicine-LLM-GGUF, heegyu/EEVE-Korean-Instruct-10.8B-v1.0-GGUF, TheBloke/Mixtral_34Bx2_MoE_60B-GGUF, TheBloke/Mixtral_7Bx2_MoE-GGUF, TheBloke/phi-2-orange-GGUF, TheBloke/dolphin-2.6-mistral-7B-dpo-GGUF, PrunaAI/zephyr-orpo-141b-A35b-v0.1-GGUF-smashed, TheBloke/phi-2-dpo-GGUF, TheBloke/Silicon-Maid-7B-GGUF, TheBloke/Swallow-7B-Instruct-GGUF"
llama_index,,,3,"maidalun1020/bce-embedding-base_v1, maidalun1020/bce-reranker-base_v1, FinLang/finance-embeddings-investopedia"
llava,,,10,"lmms-lab/llava-onevision-qwen2-0.5b-ov, lmms-lab/llava-onevision-qwen2-7b-ov, lmms-lab/llava-onevision-qwen2-72b-ov-sft, lmms-lab/llava-onevision-qwen2-7b-ov-chat, lmms-lab/llava-onevision-qwen2-0.5b-si, lmms-lab/LLaVA-NeXT-Video-7B-Qwen2, lmms-lab/llava-onevision-qwen2-7b-si, lmms-lab/llava-onevision-qwen2-72b-ov-chat, lmms-lab/llava-onevision-qwen2-72b-si, toshi456/llava-jp-1.3b-v1.0"
llm2vec,,,7,"McGill-NLP/LLM2Vec-Mistral-7B-Instruct-v2-mntp, McGill-NLP/LLM2Vec-Meta-Llama-3-8B-Instruct-mntp, McGill-NLP/LLM2Vec-Meta-Llama-3-8B-Instruct-mntp-supervised, McGill-NLP/LLM2Vec-Sheared-LLaMA-mntp, McGill-NLP/LLM2Vec-Sheared-LLaMA-mntp-supervised, McGill-NLP/LLM2Vec-Meta-Llama-3-8B-Instruct-mntp-unsup-simcse, McGill-NLP/LLM2Vec-Llama-2-7b-chat-hf-mntp"
llm_blender,,,2,"llm-blender/PairRM, llm-blender/PairRM-hf"
llmcompressor,,,17,"neuralmagic/Meta-Llama-3.1-70B-Instruct-quantized.w4a16, neuralmagic/Meta-Llama-3.1-70B-Instruct-FP8, neuralmagic/Phi-3-medium-128k-instruct-FP8, neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8, neuralmagic/Meta-Llama-3.1-70B-Instruct-quantized.w8a8, neuralmagic/Meta-Llama-3.1-405B-Instruct-quantized.w4a16, neuralmagic/Meta-Llama-3.1-8B-Instruct-quantized.w8a8, neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8-dynamic, neuralmagic/Phi-3-medium-128k-instruct-quantized.w4a16, neuralmagic/Meta-Llama-3.1-8B-Instruct-quantized.w8a16, neuralmagic/Qwen2-7B-Instruct-quantized.w8a8, neuralmagic/Meta-Llama-3.1-70B-Instruct-FP8-dynamic, neuralmagic/Llama-3.2-11B-Vision-Instruct-FP8-dynamic, neuralmagic/Qwen2-1.5B-Instruct-quantized.w8a8, neuralmagic/Meta-Llama-3.1-405B-Instruct-FP8, neuralmagic/Mistral-Nemo-Instruct-2407-quantized.w4a16, neuralmagic/Meta-Llama-3.1-8B-FP8"
llmlingua,,,2,"microsoft/llmlingua-2-bert-base-multilingual-cased-meetingbank, microsoft/llmlingua-2-xlm-roberta-large-meetingbank"
lmdeploy,,,23,"OpenGVLab/InternVL2-1B, OpenGVLab/InternVL2-2B, OpenGVLab/InternVL2-8B, OpenGVLab/InternVL2-26B, OpenGVLab/InternVL2-40B, internlm/internlm2_5-7b-chat, OpenGVLab/InternVL2-4B, internlm/internlm2_5-1_8b-chat, internlm/internlm2-chat-7b, OpenGVLab/InternVL2-2B-AWQ, OpenGVLab/InternVL-Chat-V1-5, internlm/internlm2-chat-1_8b, internlm/internlm2-chat-7b-sft, internlm/internlm2-chat-20b, internlm/internlm2-chat-1_8b-sft, OpenGVLab/Mini-InternVL-Chat-2B-V1-5, internlm/internlm-xcomposer2d5-7b-4bit, internlm/internlm2_5-20b-chat, OpenGVLab/InternVL2-8B-AWQ, internlm/internlm2_5-7b-chat-1m, OpenGVLab/InternVL2-40B-AWQ, OpenGVLab/InternVL2-Llama3-76B-AWQ, OpenGVLab/Mini-InternVL-Chat-4B-V1-5"
lmqg,,,1,lmqg/t5-base-squad-qag
load,,,1,neuralmagic/llama-2-7b-chat-marlin
longva,,,2,"lmms-lab/LongVA-7B, lmms-lab/LongVA-7B-DPO"
ltp,,,2,"LTP/small, LTP/base1"
lycoris,,,6,"jimmycarter/flux-training-losercity-next-lycoris14, jimmycarter/flux-training, jimmycarter/flux-training-losercity-next-lycoris8, bghira/flux-sfwbooru-3.5M-lokr-attempt5, bghira/flux-sfwbooru-3.5M-lokr-attempt5b, adipanda/luffy-simpletuner-lora-6"
mamba_ssm,,,1,state-spaces/mamba-2.8b-slimpj
mantis,,,2,"TIGER-Lab/Mantis-8B-siglip-llama3, TIGER-Lab/Mantis-8B-clip-llama3"
mast3r,,,1,naver/MASt3R_ViTLarge_BaseDecoder_512_catmlpdpt_metric
math,,,26,"OpenGVLab/InternVL2-1B, cardiffnlp/twitter-roberta-base-dec2021-tweet-topic-multi-all, OpenGVLab/InternVL2-Llama3-76B, OpenGVLab/InternVL2-2B, OpenGVLab/InternVL2-8B, OpenGVLab/InternVL2-26B, OpenGVLab/InternVL2-40B, OpenGVLab/InternVL2-4B, microsoft/Orca-2-13b, OpenGVLab/InternVL-Chat-V1-5, microsoft/Orca-2-7b, AI4PD/ZymCTRL, cloudyu/Mixtral_34Bx2_MoE_60B, cloudyu/Yi-34Bx2-MoE-60B, cloudyu/Yi-34Bx2-MOE-200K, OpenGVLab/Mini-InternVL-Chat-2B-V1-5, kodonho/Solar-OrcaDPO-Solar-Instruct-SLERP, kodonho/SolarM-SakuraSolar-SLERP, TheBloke/Orca-2-13B-GGUF, colable/llama-ko-peft-v0.5, colable/llama-ko-peft-v0.6, colable/llama-ko-peft, TheBloke/Orca-2-7B-GGUF, OpenGVLab/Mini-InternVL-Chat-4B-V1-5, TheBloke/Mixtral_34Bx2_MoE_60B-GGUF, TheBloke/Mixtral_7Bx2_MoE-GGUF"
meldataset,,,5,"nvidia/bigvgan_v2_22khz_80band_256x, nvidia/bigvgan_v2_24khz_100band_256x, nvidia/bigvgan_base_22khz_80band, nvidia/bigvgan_v2_44khz_128band_512x, nvidia/bigvgan_v2_22khz_80band_fmax8k_256x"
melo,,,8,"myshell-ai/MeloTTS-English, myshell-ai/MeloTTS-Korean, myshell-ai/MeloTTS-English-v3, myshell-ai/MeloTTS-French, myshell-ai/MeloTTS-Spanish, myshell-ai/MeloTTS-Chinese, myshell-ai/MeloTTS-Japanese, myshell-ai/MeloTTS-English-v2"
meteor,,,2,"BK-Lee/Meteor-Mamba, BK-Lee/Meteor-MLM"
min_dalle,,,1,kuprel/min-dalle
minicheck,,,3,"lytang/MiniCheck-RoBERTa-Large, lytang/MiniCheck-Flan-T5-Large, bespokelabs/Bespoke-MiniCheck-7B"
mistral_common,,,19,"mistralai/Mistral-7B-Instruct-v0.2, mistralai/Mixtral-8x7B-Instruct-v0.1, mistralai/Mistral-7B-Instruct-v0.3, mistralai/Mistral-7B-Instruct-v0.1, QuantFactory/Mistral-Nemo-Instruct-2407-GGUF, mistralai/Mistral-Nemo-Instruct-2407, FlorianJc/Mistral-Nemo-Instruct-2407-vllm-fp8, mistralai/Mixtral-8x22B-Instruct-v0.1, mistralai/Codestral-22B-v0.1, mistralai/Mistral-Large-Instruct-2407, mistralai/Mistral-Small-Instruct-2409, enghwa/neuron-mistral7bv0.2, failspy/Codestral-22B-v0.1-abliterated-v3, MaziyarPanahi/Mistral-7B-Instruct-v0.3, bullerwins/Codestral-22B-v0.1-hf, TechxGenus/Mistral-Large-Instruct-2407-AWQ, AMead10/Mistral-Small-Instruct-2409-awq, mistral-community/Mistral-7B-Instruct-v0.3, MaziyarPanahi/Mixtral-8x22B-Instruct-v0.1-GGUF"
mistral_inference,,,18,"mistralai/Mistral-7B-Instruct-v0.2, mistralai/Mixtral-8x7B-Instruct-v0.1, mistralai/Mistral-7B-Instruct-v0.3, mistralai/Mistral-7B-Instruct-v0.1, QuantFactory/Mistral-Nemo-Instruct-2407-GGUF, mistralai/Mistral-Nemo-Instruct-2407, FlorianJc/Mistral-Nemo-Instruct-2407-vllm-fp8, mistralai/Mixtral-8x22B-Instruct-v0.1, mistralai/Codestral-22B-v0.1, mistralai/Mistral-Large-Instruct-2407, mistralai/Mistral-Small-Instruct-2409, enghwa/neuron-mistral7bv0.2, failspy/Codestral-22B-v0.1-abliterated-v3, MaziyarPanahi/Mistral-7B-Instruct-v0.3, bullerwins/Codestral-22B-v0.1-hf, TechxGenus/Mistral-Large-Instruct-2407-AWQ, AMead10/Mistral-Small-Instruct-2409-awq, mistral-community/Mistral-7B-Instruct-v0.3"
mixedbread_ai,,,6,"mixedbread-ai/mxbai-embed-large-v1, mixedbread-ai/mxbai-rerank-xsmall-v1, mixedbread-ai/mxbai-rerank-base-v1, mixedbread-ai/mxbai-rerank-large-v1, mixedbread-ai/deepset-mxbai-embed-de-large-v1, mixedbread-ai/mxbai-embed-2d-large-v1"
mixedbread_ai_haystack,,,1,mixedbread-ai/deepset-mxbai-embed-de-large-v1
mlc_llm,,,22,"mlc-ai/Qwen2.5-0.5B-Instruct-q4f16_1-MLC, mlc-ai/Llama-2-7b-chat-hf-q4f32_1-MLC, mlc-ai/gemma-2b-it-q4f16_1-MLC, mlc-ai/TinyLlama-1.1B-Chat-v0.4-q4f16_1-MLC, mlc-ai/Llama-3.1-8B-Instruct-q4f32_1-MLC, mlc-ai/SmolLM-135M-Instruct-q0f16-MLC, mlc-ai/Qwen2-1.5B-Instruct-q4f16_1-MLC, mlc-ai/gemma-2-2b-it-q4f16_1-MLC, mlc-ai/Phi-3.5-mini-instruct-q4f16_1-MLC, mlc-ai/Phi-3-mini-4k-instruct-q4f16_1-MLC, mlc-ai/Mistral-7B-Instruct-v0.3-q3f16_1-MLC, mlc-ai/Llama-3.2-1B-Instruct-q4f16_1-MLC, mlc-ai/gemma-2b-it-q4f32_1-MLC, mlc-ai/SmolLM-360M-Instruct-q0f16-MLC, mlc-ai/Mistral-7B-Instruct-v0.3-q4f16_1-MLC, mlc-ai/TinyLlama-1.1B-Chat-v0.4-q4f32_1-MLC, mlc-ai/Mistral-7B-Instruct-v0.2-q4f16_1-MLC, mlc-ai/Llama-3.1-8B-Instruct-q3f16_1-MLC, mlc-ai/Llama-3.2-1B-Instruct-q4f32_1-MLC, mlc-ai/Llama-2-7b-chat-hf-q4f16_1-MLC, mlc-ai/Llama-3-8B-Instruct-q4f32_1-MLC, mlc-ai/phi-2-q4f16_1-MLC"
mlx_lm,,,4,"ghost-x/ghost-8b-beta-1608, mlx-community/Meta-Llama-3.1-8B-Instruct-4bit, mlx-community/Meta-Llama-3-8B-Instruct, mlx-community/Meta-Llama-3-8B-Instruct-4bit"
mlx_whisper,,,1,mlx-community/whisper-large-v3-mlx
model,,,8,"deepseek-ai/deepseek-coder-1.3b-base, deepseek-ai/deepseek-coder-6.7b-base, TheBloke/deepseek-coder-6.7B-base-AWQ, JaesungHuh/ecapa-gender, TheBloke/deepseek-coder-33B-base-GGUF, TheBloke/deepseek-coder-6.7B-base-GGUF, FunAudioLLM/SenseVoiceSmall, deepseek-ai/deepseek-coder-33b-base"
modeling_altclip,,,1,BAAI/AltCLIP
models,,,4,"ZhengPeng7/BiRefNet, ZhengPeng7/BiRefNet_lite, ZhengPeng7/BiRefNet-portrait, Hate-speech-CNERG/bert-base-uncased-hatexplain-rationale-two"
modelscope,,,2,"ali-vilab/i2vgen-xl, ali-vilab/modelscope-damo-text-to-video-synthesis"
moment,,,1,AutonLab/MOMENT-1-large
mteb,,,3,"infgrad/stella-large-zh-v2, aspire/acge_text_embedding, infgrad/stella-base-en-v2"
multilingual_clip,,,3,"M-CLIP/XLM-Roberta-Large-Vit-B-16Plus, M-CLIP/XLM-Roberta-Large-Vit-B-32, M-CLIP/XLM-Roberta-Large-Vit-L-14"
multimolecule,,,3,"multimolecule/rinalmo, multimolecule/rnafm, multimolecule/rnabert"
nemo,,,14,"nvidia/speakerverification_en_titanet_large, nvidia/parakeet-rnnt-0.6b, nvidia/parakeet-tdt-1.1b, nvidia/parakeet-rnnt-1.1b, nvidia/canary-1b, nvidia/stt_ru_fastconformer_hybrid_large_pc, nvidia/parakeet-ctc-1.1b, nvidia/stt_en_fastconformer_hybrid_large_pc, nvidia/stt_en_conformer_ctc_large, nvidia/stt_en_conformer_transducer_xlarge, nvidia/stt_zh_conformer_transducer_large, nvidia/parakeet-tdt_ctc-1.1b, nvidia/stt_kk_ru_fastconformer_hybrid_large, nvidia/stt_en_fastconformer_transducer_xlarge"
nltk,,,4,"fabiochiu/t5-base-tag-generation, marefa-nlp/marefa-ner, eenzeenee/t5-base-korean-summarization, nandakishormpai/t5-small-machine-articles-tag-generation"
nomic,,,4,"nomic-ai/nomic-embed-text-v1.5, nomic-ai/nomic-embed-text-v1, nomic-ai/nomic-embed-vision-v1, nomic-ai/nomic-embed-vision-v1.5"
normalizer,,,3,"csebuetnlp/banglat5_banglaparaphrase, csebuetnlp/banglabert, csebuetnlp/banglat5_nmt_bn_en"
nougat_latex,,,1,Norm/nougat-latex-base
ollama,,,3,"akjindal53244/Llama-3.1-Storm-8B, unsloth/Llama-3.1-Storm-8B-bnb-4bit, akjindal53244/Llama-3.1-Storm-8B-GGUF"
omegaconf,,,1,1-800-BAD-CODE/xlm-roberta_punctuation_fullstop_truecase
onnxruntime,,,4,"jinaai/jina-embeddings-v3, 1-800-BAD-CODE/xlm-roberta_punctuation_fullstop_truecase, minuva/MiniLMv2-agentflow-v2-onnx, SamLowe/roberta-base-go_emotions-onnx"
open_clip,,,20,"apple/DFN5B-CLIP-ViT-H-14-378, UCSC-VLAA/ViT-L-16-HTxt-Recap-CLIP, timm/ViT-SO400M-14-SigLIP-384, imageomics/bioclip, timm/ViT-B-16-SigLIP, apple/DFN5B-CLIP-ViT-H-14, microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224, timm/ViT-B-16-SigLIP-256, apple/DFN2B-CLIP-ViT-L-14, timm/ViT-L-16-SigLIP-256, M-CLIP/XLM-Roberta-Large-Vit-B-16Plus, timm/ViT-B-16-SigLIP-512, apple/DFN2B-CLIP-ViT-B-16, UCSC-VLAA/ViT-L-14-CLIPA-datacomp1B, timm/ViT-SO400M-14-SigLIP, timm/ViT-L-16-SigLIP-384, Marqo/marqo-fashionSigLIP, UCSC-VLAA/ViT-bigG-14-CLIPA-336-datacomp1B, Marqo/marqo-fashionCLIP, jienengchen/ViTamin-XL-384px"
openai,,,35,"OpenGVLab/InternVL2-1B, hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4, hugging-quants/Meta-Llama-3.1-70B-Instruct-AWQ-INT4, hugging-quants/Meta-Llama-3.1-8B-Instruct-GPTQ-INT4, OpenGVLab/InternVL2-Llama3-76B, OpenGVLab/InternVL2-2B, OpenGVLab/InternVL2-8B, OpenGVLab/InternVL2-26B, OpenGVLab/InternVL2-40B, hugging-quants/Meta-Llama-3.1-405B-Instruct-AWQ-INT4, meetkai/functionary-small-v2.5, Qwen/Qwen2-0.5B-Instruct-GGUF, hugging-quants/Meta-Llama-3.1-70B-Instruct-GPTQ-INT4, OpenGVLab/InternVL2-4B, Qwen/Qwen2-7B-Instruct-GGUF, Qwen/Qwen2-1.5B-Instruct-GGUF, OpenGVLab/InternVL2-2B-AWQ, OpenGVLab/InternVL-Chat-V1-5, internlm/internlm2_5-20b-chat-gguf, yentinglin/Llama-3-Taiwan-8B-Instruct, meetkai/functionary-small-v3.1, Qwen/Qwen2-72B-Instruct-GGUF, gorilla-llm/gorilla-openfunctions-v2, macadeliccc/Samantha-Qwen-2-7B, elyza/Llama-3-ELYZA-JP-8B-GGUF, OpenGVLab/Mini-InternVL-Chat-2B-V1-5, hugging-quants/Meta-Llama-3.1-405B-Instruct-GPTQ-INT4, Qwen/Qwen2-57B-A14B-Instruct-GGUF, internlm/internlm2_5-7b-chat-gguf, meetkai/functionary-small-v3.2, OpenGVLab/InternVL2-8B-AWQ, elyza/Llama-3-ELYZA-JP-8B-AWQ, OpenGVLab/InternVL2-40B-AWQ, OpenGVLab/InternVL2-Llama3-76B-AWQ, OpenGVLab/Mini-InternVL-Chat-4B-V1-5"
openfunctions_utils,,,1,gorilla-llm/gorilla-openfunctions-v2
opensora,,,2,"hpcai-tech/OpenSora-VAE-v1.2, hpcai-tech/OpenSora-STDiT-v3"
openvino_genai,,,1,OpenVINO/Phi-3-mini-4k-instruct-int4-ov
operator,,,1,shibing624/macbert4csc-base-chinese
optimum,,,36,"BAAI/bge-base-en-v1.5, BAAI/bge-large-en-v1.5, BAAI/bge-small-en-v1.5, BAAI/bge-reranker-large, BAAI/bge-reranker-base, protectai/deberta-v3-base-prompt-injection-v2, pszemraj/flan-t5-large-grammar-synthesis, optimum/t5-small, protectai/deberta-v3-base-prompt-injection, Intel/bge-small-en-v1.5-rag-int8-static, protectai/distilroberta-base-rejection-v1, cmarkea/distilcamembert-base-ner, protectai/xlm-roberta-base-language-detection-onnx, Habana/stable-diffusion, optimum/sbert-all-MiniLM-L6-with-pooler, protectai/unbiased-toxic-roberta-onnx, echarlaix/distilbert-base-uncased-finetuned-sst-2-english-openvino, optimum/gpt2, philomath-1209/programming-language-identification, p1atdev/dart-v1-sft, protectai/distilroberta-bias-onnx, OpenVINO/Phi-3-mini-4k-instruct-int4-ov, cmarkea/distilcamembert-base-sentiment, vuiseng9/ov-gpt2-fp32-no-cache, breezedeus/pix2text-mfr, Habana/stable-diffusion-2, echarlaix/t5-small-openvino, minuva/MiniLMv2-agentflow-v2-onnx, Intel/t5-small-xsum-int8-dynamic-inc, echarlaix/distilbert-base-uncased-finetuned-sst-2-english-int8-dynamic, SamLowe/roberta-base-go_emotions-onnx, Intel/distilbert-base-uncased-distilled-squad-int8-static-inc, yahavb/Mistral-7B-Instruct-v0-3-neuron, Deepchecks/parrot_fluency_model_onnx, Disty0/FLUX.1-dev-qint8, protectai/codebert-base-Malicious_URLs-onnx"
parler_tts,,,5,"parler-tts/parler-tts-mini-v1, parler-tts/parler_tts_mini_v0.1, parler-tts/parler-tts-large-v1, parler-tts/parler-tts-mini-jenny-30H, parler-tts/parler-tts-mini-expresso"
parrot,,,1,prithivida/parrot_paraphraser_on_T5
pathlib,,,38,"mistralai/Mistral-7B-Instruct-v0.3, facebook/w2v-bert-2.0, mistralai/Mistral-7B-v0.3, QuantFactory/Mistral-Nemo-Instruct-2407-GGUF, mistralai/Mistral-Nemo-Instruct-2407, FlorianJc/Mistral-Nemo-Instruct-2407-vllm-fp8, lllyasviel/control_v11e_sd15_shuffle, gvs/wav2vec2-large-xlsr-malayalam, mistralai/Codestral-22B-v0.1, mistralai/Mistral-Nemo-Base-2407, mistralai/Mistral-Large-Instruct-2407, lllyasviel/control_v11p_sd15_openpose, lllyasviel/control_v11p_sd15_softedge, ControlNet-1-1-preview/control_v11p_sd15_lineart, lambdalabs/sd-image-variations-diffusers, lllyasviel/control_v11f1p_sd15_depth, lllyasviel/control_v11p_sd15_seg, mistralai/Mamba-Codestral-7B-v0.1, lllyasviel/control_v11p_sd15_canny, mistralai/Mistral-Small-Instruct-2409, lllyasviel/control_v11p_sd15_lineart, lllyasviel/control_v11p_sd15_mlsd, xinsir/controlnet-scribble-sdxl-1.0, MaziyarPanahi/Mistral-7B-v0.3, lllyasviel/control_v11p_sd15_scribble, failspy/Codestral-22B-v0.1-abliterated-v3, lllyasviel/control_v11p_sd15_normalbae, lllyasviel/control_v11e_sd15_ip2p, MaziyarPanahi/Mistral-7B-Instruct-v0.3, lllyasviel/control_v11p_sd15s2_lineart_anime, mistralai/Mathstral-7B-v0.1, bullerwins/Codestral-22B-v0.1-hf, ali-vilab/modelscope-damo-text-to-video-synthesis, TechxGenus/Mistral-Large-Instruct-2407-AWQ, AMead10/Mistral-Small-Instruct-2409-awq, huggingface/CodeBERTa-language-id, mistral-community/Mistral-7B-Instruct-v0.3, QuantFactory/Mistral-Nemo-Base-2407-GGUF"
